User ID,Age,Gender,Fitness Level,Goals,Available Equipment,Workout Plan
51,29,Male,Intermediate,Muscle Gain,Dumbbells,Strength Training
52,23,Male,Beginner,Flexibility,Dumbbells,Basic Yoga
53,31,Other,Beginner,Flexibility,Dumbbells,Basic Yoga
54,38,Female,Advanced,Endurance,Resistance Bands,Running
55,60,Other,Intermediate,Weight Loss,Dumbbells,Moderate Cardio
56,29,Male,Advanced,Endurance,Treadmill,Running
57,36,Other,Advanced,Flexibility,Dumbbells,Advanced Yoga
58,32,Other,Intermediate,Endurance,Treadmill,Jogging
59,37,Female,Beginner,Muscle Gain,Treadmill,Bodyweight Training
60,34,Other,Beginner,Muscle Gain,Resistance Bands,Bodyweight Training
61,48,Female,Beginner,Endurance,Resistance Bands,Walking
62,47,Male,Advanced,Muscle Gain,Dumbbells,Advanced Strength Training
63,18,Female,Intermediate,Flexibility,None,Intermediate Yoga
64,54,Female,Beginner,Muscle Gain,None,Bodyweight Training
65,41,Other,Beginner,Flexibility,Treadmill,Basic Yoga
66,35,Female,Beginner,Endurance,Treadmill,Walking
67,37,Male,Advanced,Endurance,Treadmill,Running
68,20,Other,Beginner,Muscle Gain,Treadmill,Bodyweight Training
69,29,Other,Advanced,Weight Loss,None,HIIT
70,60,Male,Advanced,Flexibility,Treadmill,Advanced Yoga
71,25,Male,Intermediate,Flexibility,Resistance Bands,Intermediate Yoga
72,51,Female,Intermediate,Flexibility,Resistance Bands,Intermediate Yoga
73,22,Other,Beginner,Muscle Gain,Dumbbells,Bodyweight Training
74,29,Other,Advanced,Flexibility,Resistance Bands,Advanced Yoga
75,49,Other,Beginner,Endurance,Dumbbells,Walking
76,56,Female,Advanced,Weight Loss,None,HIIT
77,58,Male,Intermediate,Flexibility,Dumbbells,Intermediate Yoga
78,47,Female,Intermediate,Muscle Gain,Resistance Bands,Strength Training
79,18,Male,Intermediate,Endurance,Resistance Bands,Jogging
80,34,Other,Advanced,Weight Loss,Dumbbells,HIIT
81,30,Other,Intermediate,Flexibility,Dumbbells,Intermediate Yoga
82,64,Female,Intermediate,Muscle Gain,Treadmill,Strength Training
83,28,Other,Intermediate,Flexibility,None,Intermediate Yoga
84,21,Other,Advanced,Muscle Gain,Resistance Bands,Advanced Strength Training
85,30,Other,Intermediate,Endurance,Resistance Bands,Jogging
86,45,Female,Intermediate,Muscle Gain,Treadmill,Strength Training
87,46,Male,Intermediate,Flexibility,Dumbbells,Intermediate Yoga
88,51,Male,Advanced,Flexibility,Dumbbells,Advanced Yoga
89,27,Other,Beginner,Flexibility,None,Basic Yoga
90,63,Female,Advanced,Weight Loss,None,HIIT
91,63,Other,Intermediate,Flexibility,None,Intermediate Yoga
92,33,Male,Advanced,Endurance,Resistance Bands,Running
93,28,Other,Beginner,Weight Loss,Resistance Bands,Light Cardio
94,37,Female,Intermediate,Weight Loss,Treadmill,Moderate Cardio
95,64,Female,Intermediate,Muscle Gain,Resistance Bands,Strength Training
96,26,Female,Intermediate,Weight Loss,Treadmill,Moderate Cardio
97,56,Male,Beginner,Endurance,None,Walking
98,22,Female,Beginner,Flexibility,Resistance Bands,Basic Yoga
99,44,Female,Advanced,Muscle Gain,Treadmill,Advanced Strength Training
100,29,Female,Intermediate,Flexibility,Treadmill,Intermediate Yoga
101,25,Male,Intermediate,Muscle Gain,Treadmill,Strength Training
102,62,Male,Beginner,Weight Loss,None,Light Cardio
103,47,Other,Intermediate,Endurance,None,Jogging
104,41,Female,Beginner,Endurance,Treadmill,Walking
105,44,Female,Intermediate,Endurance,Dumbbells,Jogging
106,61,Other,Advanced,Weight Loss,Resistance Bands,HIIT
107,59,Other,Beginner,Weight Loss,Resistance Bands,Light Cardio
108,56,Male,Beginner,Flexibility,None,Basic Yoga
109,23,Other,Beginner,Flexibility,Dumbbells,Basic Yoga
110,31,Other,Intermediate,Muscle Gain,None,Strength Training
111,26,Female,Advanced,Muscle Gain,Resistance Bands,Advanced Strength Training
112,57,Other,Intermediate,Muscle Gain,Dumbbells,Strength Training
113,18,Female,Beginner,Muscle Gain,Treadmill,Bodyweight Training
114,35,Other,Intermediate,Muscle Gain,None,Strength Training
115,40,Other,Intermediate,Muscle Gain,Dumbbells,Strength Training
116,64,Other,Beginner,Muscle Gain,Treadmill,Bodyweight Training
117,39,Female,Beginner,Weight Loss,None,Light Cardio
118,52,Other,Beginner,Muscle Gain,Treadmill,Bodyweight Training
119,58,Other,Advanced,Flexibility,None,Advanced Yoga
120,36,Female,Intermediate,Endurance,None,Jogging
121,38,Other,Beginner,Endurance,None,Walking
122,51,Female,Advanced,Weight Loss,Treadmill,HIIT
123,29,Female,Beginner,Endurance,Resistance Bands,Walking
124,27,Other,Advanced,Flexibility,Treadmill,Advanced Yoga
125,34,Male,Advanced,Flexibility,Treadmill,Advanced Yoga
126,60,Female,Advanced,Weight Loss,Dumbbells,HIIT
127,58,Male,Beginner,Weight Loss,Treadmill,Light Cardio
128,23,Male,Intermediate,Weight Loss,Treadmill,Moderate Cardio
129,29,Male,Beginner,Endurance,Resistance Bands,Walking
130,39,Male,Beginner,Weight Loss,Treadmill,Light Cardio
131,46,Male,Intermediate,Endurance,Dumbbells,Jogging
132,51,Male,Intermediate,Muscle Gain,Dumbbells,Strength Training
133,58,Male,Intermediate,Flexibility,Dumbbells,Intermediate Yoga
134,61,Other,Intermediate,Endurance,None,Jogging
135,49,Other,Intermediate,Endurance,Dumbbells,Jogging
136,46,Other,Advanced,Flexibility,None,Advanced Yoga
137,20,Male,Advanced,Flexibility,Resistance Bands,Advanced Yoga
138,36,Male,Beginner,Flexibility,Dumbbells,Basic Yoga
139,26,Female,Beginner,Weight Loss,None,Light Cardio
140,27,Female,Beginner,Muscle Gain,Dumbbells,Bodyweight Training
141,49,Other,Beginner,Weight Loss,None,Light Cardio
142,22,Female,Beginner,Flexibility,None,Basic Yoga
143,34,Female,Intermediate,Weight Loss,Dumbbells,Moderate Cardio
144,53,Other,Advanced,Weight Loss,Treadmill,HIIT
145,23,Other,Beginner,Endurance,Resistance Bands,Walking
146,38,Other,Advanced,Muscle Gain,Treadmill,Advanced Strength Training
147,22,Other,Intermediate,Flexibility,Dumbbells,Intermediate Yoga
148,39,Male,Advanced,Endurance,Dumbbells,Running
149,19,Other,Intermediate,Weight Loss,Treadmill,Moderate Cardio
150,44,Other,Intermediate,Weight Loss,None,Moderate Cardio
151,61,Male,Beginner,Muscle Gain,Resistance Bands,Bodyweight Training
152,43,Other,Beginner,Flexibility,None,Basic Yoga
153,39,Other,Advanced,Endurance,Treadmill,Running
154,53,Other,Beginner,Muscle Gain,Dumbbells,Bodyweight Training
155,58,Other,Advanced,Endurance,Treadmill,Running
156,26,Female,Intermediate,Muscle Gain,Resistance Bands,Strength Training
157,22,Male,Advanced,Endurance,Dumbbells,Running
158,48,Male,Advanced,Muscle Gain,Treadmill,Advanced Strength Training
159,44,Other,Advanced,Flexibility,Dumbbells,Advanced Yoga
160,39,Male,Advanced,Weight Loss,None,HIIT
161,53,Male,Intermediate,Muscle Gain,Dumbbells,Strength Training
162,29,Female,Intermediate,Flexibility,None,Intermediate Yoga
163,47,Female,Intermediate,Muscle Gain,None,Strength Training
164,18,Other,Intermediate,Flexibility,None,Intermediate Yoga
165,42,Female,Beginner,Endurance,None,Walking
166,62,Other,Beginner,Muscle Gain,None,Bodyweight Training
167,27,Female,Intermediate,Muscle Gain,Treadmill,Strength Training
168,20,Female,Beginner,Muscle Gain,Dumbbells,Bodyweight Training
169,21,Female,Intermediate,Endurance,Resistance Bands,Jogging
170,48,Other,Intermediate,Weight Loss,Treadmill,Moderate Cardio
171,23,Female,Intermediate,Muscle Gain,None,Strength Training
172,47,Male,Advanced,Muscle Gain,Treadmill,Advanced Strength Training
173,56,Other,Beginner,Weight Loss,Resistance Bands,Light Cardio
174,22,Male,Advanced,Endurance,Resistance Bands,Running
175,34,Male,Beginner,Flexibility,None,Basic Yoga
176,44,Female,Advanced,Muscle Gain,Treadmill,Advanced Strength Training
177,48,Male,Advanced,Flexibility,Resistance Bands,Advanced Yoga
178,30,Male,Advanced,Endurance,Resistance Bands,Running
179,36,Female,Intermediate,Flexibility,Treadmill,Intermediate Yoga
180,22,Male,Intermediate,Endurance,None,Jogging
181,44,Female,Advanced,Endurance,Dumbbells,Running
182,52,Female,Intermediate,Flexibility,Dumbbells,Intermediate Yoga
183,30,Other,Intermediate,Muscle Gain,Treadmill,Strength Training
184,32,Other,Advanced,Muscle Gain,Resistance Bands,Advanced Strength Training
185,23,Other,Beginner,Flexibility,Dumbbells,Basic Yoga
186,45,Other,Intermediate,Flexibility,Dumbbells,Intermediate Yoga
187,38,Male,Intermediate,Weight Loss,Resistance Bands,Moderate Cardio
188,43,Female,Intermediate,Endurance,Resistance Bands,Jogging
189,51,Female,Beginner,Weight Loss,Treadmill,Light Cardio
190,44,Female,Beginner,Weight Loss,Dumbbells,Light Cardio
191,19,Female,Beginner,Flexibility,Dumbbells,Basic Yoga
192,35,Female,Advanced,Flexibility,Dumbbells,Advanced Yoga
193,34,Female,Intermediate,Weight Loss,Resistance Bands,Moderate Cardio
194,49,Female,Advanced,Endurance,Resistance Bands,Running
195,60,Female,Advanced,Flexibility,Treadmill,Advanced Yoga
196,26,Female,Advanced,Flexibility,Dumbbells,Advanced Yoga
197,30,Female,Intermediate,Weight Loss,Resistance Bands,Moderate Cardio
198,19,Female,Beginner,Flexibility,Dumbbells,Basic Yoga
199,23,Other,Advanced,Weight Loss,Resistance Bands,HIIT
200,35,Male,Beginner,Flexibility,Dumbbells,Basic Yoga
201,47,Male,Intermediate,Endurance,Treadmill,Jogging
202,41,Other,Intermediate,Endurance,Resistance Bands,Jogging
203,25,Other,Intermediate,Endurance,Dumbbells,Jogging
204,29,Female,Beginner,Endurance,None,Walking
205,28,Other,Beginner,Weight Loss,None,Light Cardio
206,61,Other,Intermediate,Weight Loss,Resistance Bands,Moderate Cardio
207,59,Female,Intermediate,Muscle Gain,Resistance Bands,Strength Training
208,41,Female,Beginner,Flexibility,None,Basic Yoga
209,19,Female,Intermediate,Endurance,Dumbbells,Jogging
210,18,Female,Advanced,Endurance,Dumbbells,Running
211,33,Female,Intermediate,Flexibility,Treadmill,Intermediate Yoga
212,56,Other,Beginner,Flexibility,Dumbbells,Basic Yoga
213,32,Female,Beginner,Muscle Gain,Resistance Bands,Bodyweight Training
214,37,Female,Beginner,Muscle Gain,Treadmill,Bodyweight Training
215,39,Female,Intermediate,Flexibility,None,Intermediate Yoga
216,57,Other,Beginner,Muscle Gain,Treadmill,Bodyweight Training
217,53,Male,Advanced,Endurance,Treadmill,Running
218,32,Male,Intermediate,Flexibility,Treadmill,Intermediate Yoga
219,43,Other,Advanced,Endurance,Treadmill,Running
220,22,Male,Advanced,Muscle Gain,Treadmill,Advanced Strength Training
221,57,Female,Advanced,Weight Loss,Dumbbells,HIIT
222,64,Other,Advanced,Weight Loss,None,HIIT
223,52,Male,Beginner,Muscle Gain,Resistance Bands,Bodyweight Training
224,47,Other,Beginner,Flexibility,Treadmill,Basic Yoga
225,34,Female,Advanced,Weight Loss,Dumbbells,HIIT
226,64,Other,Intermediate,Endurance,None,Jogging
227,60,Other,Advanced,Endurance,Resistance Bands,Running
228,52,Male,Advanced,Flexibility,Treadmill,Advanced Yoga
229,60,Other,Beginner,Weight Loss,Dumbbells,Light Cardio
230,40,Other,Beginner,Weight Loss,Dumbbells,Light Cardio
231,27,Male,Intermediate,Endurance,Dumbbells,Jogging
232,33,Male,Intermediate,Endurance,Resistance Bands,Jogging
233,38,Other,Intermediate,Endurance,Treadmill,Jogging
234,33,Other,Intermediate,Weight Loss,Treadmill,Moderate Cardio
235,53,Male,Advanced,Weight Loss,Treadmill,HIIT
236,50,Male,Intermediate,Muscle Gain,Dumbbells,Strength Training
237,41,Other,Advanced,Weight Loss,Dumbbells,HIIT
238,40,Male,Intermediate,Muscle Gain,Treadmill,Strength Training
239,29,Male,Advanced,Flexibility,Treadmill,Advanced Yoga
240,44,Male,Intermediate,Flexibility,Treadmill,Intermediate Yoga
241,22,Other,Advanced,Flexibility,None,Advanced Yoga
242,18,Female,Advanced,Endurance,Dumbbells,Running
243,59,Female,Intermediate,Flexibility,Dumbbells,Intermediate Yoga
244,42,Male,Beginner,Flexibility,Resistance Bands,Basic Yoga
245,38,Male,Intermediate,Muscle Gain,None,Strength Training
246,38,Other,Intermediate,Endurance,None,Jogging
247,51,Female,Beginner,Flexibility,Resistance Bands,Basic Yoga
248,50,Male,Intermediate,Endurance,Dumbbells,Jogging
249,31,Other,Beginner,Muscle Gain,None,Bodyweight Training
250,55,Other,Beginner,Muscle Gain,Treadmill,Bodyweight Training
251,50,Male,Intermediate,Endurance,Treadmill,Jogging
252,37,Other,Advanced,Weight Loss,Resistance Bands,HIIT
253,45,Female,Intermediate,Endurance,None,Jogging
254,21,Male,Intermediate,Endurance,Treadmill,Jogging
255,32,Female,Intermediate,Flexibility,Resistance Bands,Intermediate Yoga
256,18,Female,Beginner,Muscle Gain,Resistance Bands,Bodyweight Training
257,53,Other,Beginner,Flexibility,None,Basic Yoga
258,30,Female,Beginner,Endurance,None,Walking
259,43,Male,Advanced,Weight Loss,Resistance Bands,HIIT
260,63,Other,Intermediate,Flexibility,Resistance Bands,Intermediate Yoga
261,36,Female,Intermediate,Weight Loss,None,Moderate Cardio
262,59,Other,Advanced,Weight Loss,Treadmill,HIIT
263,23,Other,Beginner,Muscle Gain,None,Bodyweight Training
264,58,Male,Intermediate,Weight Loss,Resistance Bands,Moderate Cardio
265,43,Female,Intermediate,Weight Loss,Treadmill,Moderate Cardio
266,39,Male,Beginner,Muscle Gain,Dumbbells,Bodyweight Training
267,42,Male,Beginner,Weight Loss,Resistance Bands,Light Cardio
268,39,Male,Advanced,Muscle Gain,None,Advanced Strength Training
269,35,Female,Beginner,Weight Loss,Resistance Bands,Light Cardio
270,63,Female,Advanced,Weight Loss,Treadmill,HIIT
271,29,Female,Advanced,Weight Loss,Dumbbells,HIIT
272,54,Other,Intermediate,Weight Loss,None,Moderate Cardio
273,36,Female,Advanced,Endurance,None,Running
274,21,Male,Advanced,Endurance,Dumbbells,Running
275,62,Female,Intermediate,Muscle Gain,Dumbbells,Strength Training
276,35,Male,Advanced,Endurance,Dumbbells,Running
277,26,Other,Advanced,Flexibility,Treadmill,Advanced Yoga
278,36,Female,Intermediate,Muscle Gain,Dumbbells,Strength Training
279,60,Other,Advanced,Endurance,None,Running
280,42,Female,Beginner,Muscle Gain,Resistance Bands,Bodyweight Training
281,24,Male,Beginner,Muscle Gain,Treadmill,Bodyweight Training
282,51,Female,Intermediate,Endurance,None,Jogging
283,61,Male,Advanced,Flexibility,Resistance Bands,Advanced Yoga
284,43,Male,Advanced,Flexibility,Treadmill,Advanced Yoga
285,18,Male,Beginner,Endurance,Dumbbells,Walking
286,61,Other,Beginner,Endurance,Treadmill,Walking
287,60,Male,Intermediate,Weight Loss,Dumbbells,Moderate Cardio
288,61,Other,Intermediate,Muscle Gain,Resistance Bands,Strength Training
289,40,Other,Intermediate,Flexibility,Treadmill,Intermediate Yoga
290,29,Female,Intermediate,Muscle Gain,Resistance Bands,Strength Training
291,46,Male,Intermediate,Endurance,None,Jogging
292,33,Male,Intermediate,Weight Loss,Dumbbells,Moderate Cardio
293,27,Male,Beginner,Muscle Gain,Dumbbells,Bodyweight Training
294,18,Female,Beginner,Weight Loss,Resistance Bands,Light Cardio
295,54,Other,Intermediate,Flexibility,Treadmill,Intermediate Yoga
296,59,Male,Intermediate,Weight Loss,Dumbbells,Moderate Cardio
297,30,Other,Advanced,Flexibility,None,Advanced Yoga
298,28,Female,Intermediate,Weight Loss,Treadmill,Moderate Cardio
299,36,Male,Intermediate,Weight Loss,Resistance Bands,Moderate Cardio
300,23,Other,Advanced,Muscle Gain,Treadmill,Advanced Strength Training
301,34,Female,Advanced,Weight Loss,Resistance Bands,HIIT
302,41,Female,Intermediate,Muscle Gain,Treadmill,Strength Training
303,55,Male,Advanced,Muscle Gain,Dumbbells,Advanced Strength Training
304,24,Female,Intermediate,Flexibility,Resistance Bands,Intermediate Yoga
305,34,Male,Beginner,Muscle Gain,Dumbbells,Bodyweight Training
306,41,Other,Beginner,Endurance,None,Walking
307,23,Male,Advanced,Endurance,Resistance Bands,Running
308,32,Male,Beginner,Weight Loss,Dumbbells,Light Cardio
309,22,Other,Advanced,Flexibility,Treadmill,Advanced Yoga
310,42,Other,Advanced,Endurance,Treadmill,Running
311,31,Female,Intermediate,Flexibility,Resistance Bands,Intermediate Yoga
312,26,Other,Advanced,Muscle Gain,Treadmill,Advanced Strength Training
313,40,Female,Beginner,Flexibility,Resistance Bands,Basic Yoga
314,41,Female,Intermediate,Endurance,Resistance Bands,Jogging
315,32,Female,Beginner,Muscle Gain,None,Bodyweight Training
316,60,Male,Advanced,Endurance,Dumbbells,Running
317,49,Male,Intermediate,Muscle Gain,Dumbbells,Strength Training
318,25,Male,Intermediate,Flexibility,Treadmill,Intermediate Yoga
319,57,Other,Advanced,Muscle Gain,Dumbbells,Advanced Strength Training
320,30,Female,Beginner,Muscle Gain,Dumbbells,Bodyweight Training
321,48,Female,Beginner,Weight Loss,Dumbbells,Light Cardio
322,23,Female,Beginner,Endurance,Treadmill,Walking
323,46,Male,Intermediate,Muscle Gain,Treadmill,Strength Training
324,22,Male,Intermediate,Weight Loss,Treadmill,Moderate Cardio
325,24,Female,Beginner,Muscle Gain,None,Bodyweight Training
326,62,Other,Intermediate,Muscle Gain,Dumbbells,Strength Training
327,59,Male,Intermediate,Flexibility,Treadmill,Intermediate Yoga
328,45,Female,Intermediate,Muscle Gain,Dumbbells,Strength Training
329,56,Other,Advanced,Flexibility,Dumbbells,Advanced Yoga
330,52,Female,Advanced,Muscle Gain,Resistance Bands,Advanced Strength Training
331,33,Male,Beginner,Endurance,Dumbbells,Walking
332,33,Male,Beginner,Weight Loss,Dumbbells,Light Cardio
333,44,Other,Beginner,Weight Loss,Treadmill,Light Cardio
334,54,Male,Intermediate,Endurance,Resistance Bands,Jogging
335,19,Male,Advanced,Muscle Gain,None,Advanced Strength Training
336,18,Male,Beginner,Flexibility,None,Basic Yoga
337,21,Other,Intermediate,Flexibility,Treadmill,Intermediate Yoga
338,44,Male,Intermediate,Weight Loss,Resistance Bands,Moderate Cardio
339,38,Female,Intermediate,Muscle Gain,None,Strength Training
340,27,Male,Advanced,Muscle Gain,Dumbbells,Advanced Strength Training
341,32,Female,Advanced,Weight Loss,Dumbbells,HIIT
342,39,Male,Intermediate,Flexibility,None,Intermediate Yoga
343,57,Male,Beginner,Endurance,Resistance Bands,Walking
344,21,Female,Advanced,Flexibility,Resistance Bands,Advanced Yoga
345,51,Male,Advanced,Muscle Gain,None,Advanced Strength Training
346,40,Other,Beginner,Flexibility,None,Basic Yoga
347,45,Female,Intermediate,Endurance,Resistance Bands,Jogging
348,37,Female,Intermediate,Flexibility,Resistance Bands,Intermediate Yoga
349,45,Other,Advanced,Weight Loss,Resistance Bands,HIIT
350,20,Female,Beginner,Flexibility,Dumbbells,Basic Yoga
351,38,Other,Beginner,Flexibility,Treadmill,Basic Yoga
352,62,Female,Intermediate,Weight Loss,Treadmill,Moderate Cardio
353,58,Female,Intermediate,Muscle Gain,Treadmill,Strength Training
354,43,Male,Advanced,Muscle Gain,Dumbbells,Advanced Strength Training
355,38,Other,Advanced,Muscle Gain,Dumbbells,Advanced Strength Training
356,57,Male,Intermediate,Endurance,None,Jogging
357,31,Female,Intermediate,Muscle Gain,Treadmill,Strength Training
358,34,Male,Advanced,Weight Loss,Resistance Bands,HIIT
359,26,Female,Beginner,Muscle Gain,Resistance Bands,Bodyweight Training
360,64,Male,Beginner,Weight Loss,Resistance Bands,Light Cardio
361,63,Other,Intermediate,Endurance,Treadmill,Jogging
362,46,Other,Advanced,Endurance,None,Running
363,30,Other,Advanced,Flexibility,Resistance Bands,Advanced Yoga
364,40,Male,Beginner,Muscle Gain,Treadmill,Bodyweight Training
365,63,Other,Intermediate,Weight Loss,Resistance Bands,Moderate Cardio
366,42,Other,Intermediate,Endurance,Dumbbells,Jogging
367,49,Female,Beginner,Endurance,None,Walking
368,19,Female,Advanced,Endurance,Dumbbells,Running
369,45,Other,Intermediate,Endurance,Dumbbells,Jogging
370,53,Female,Intermediate,Muscle Gain,None,Strength Training
371,45,Male,Intermediate,Weight Loss,Resistance Bands,Moderate Cardio
372,28,Other,Advanced,Endurance,Treadmill,Running
373,51,Male,Advanced,Weight Loss,Dumbbells,HIIT
374,61,Other,Beginner,Muscle Gain,Resistance Bands,Bodyweight Training
375,29,Female,Advanced,Muscle Gain,Resistance Bands,Advanced Strength Training
376,56,Female,Beginner,Muscle Gain,Dumbbells,Bodyweight Training
377,37,Other,Intermediate,Muscle Gain,None,Strength Training
378,40,Other,Intermediate,Endurance,None,Jogging
379,60,Male,Beginner,Flexibility,Treadmill,Basic Yoga
380,37,Male,Advanced,Flexibility,None,Advanced Yoga
381,30,Male,Beginner,Muscle Gain,Dumbbells,Bodyweight Training
382,22,Female,Beginner,Flexibility,Treadmill,Basic Yoga
383,29,Female,Intermediate,Endurance,Treadmill,Jogging
384,64,Male,Advanced,Endurance,Dumbbells,Running
385,49,Female,Intermediate,Muscle Gain,None,Strength Training
386,29,Male,Beginner,Muscle Gain,None,Bodyweight Training
387,40,Male,Intermediate,Weight Loss,None,Moderate Cardio
388,25,Male,Beginner,Weight Loss,Dumbbells,Light Cardio
389,26,Other,Intermediate,Flexibility,Resistance Bands,Intermediate Yoga
390,37,Other,Advanced,Flexibility,Treadmill,Advanced Yoga
391,48,Male,Intermediate,Muscle Gain,Treadmill,Strength Training
392,37,Other,Advanced,Endurance,Dumbbells,Running
393,48,Male,Intermediate,Weight Loss,Resistance Bands,Moderate Cardio
394,31,Other,Advanced,Flexibility,Treadmill,Advanced Yoga
395,32,Male,Intermediate,Weight Loss,Treadmill,Moderate Cardio
396,45,Other,Advanced,Muscle Gain,Dumbbells,Advanced Strength Training
397,38,Male,Advanced,Endurance,Dumbbells,Running
398,44,Other,Beginner,Muscle Gain,Dumbbells,Bodyweight Training
399,27,Male,Beginner,Muscle Gain,None,Bodyweight Training
400,62,Other,Intermediate,Weight Loss,None,Moderate Cardio
401,56,Female,Beginner,Endurance,Resistance Bands,Walking
402,46,Female,Beginner,Endurance,Resistance Bands,Walking
403,40,Female,Intermediate,Flexibility,Resistance Bands,Intermediate Yoga
404,31,Female,Beginner,Weight Loss,Treadmill,Light Cardio
405,21,Other,Intermediate,Weight Loss,Treadmill,Moderate Cardio
406,47,Male,Advanced,Muscle Gain,None,Advanced Strength Training
407,56,Male,Intermediate,Endurance,Resistance Bands,Jogging
408,56,Other,Beginner,Muscle Gain,Resistance Bands,Bodyweight Training
409,40,Female,Beginner,Weight Loss,Resistance Bands,Light Cardio
410,53,Male,Intermediate,Endurance,Dumbbells,Jogging
411,29,Female,Intermediate,Muscle Gain,Dumbbells,Strength Training
412,53,Female,Beginner,Weight Loss,None,Light Cardio
413,49,Other,Intermediate,Flexibility,Dumbbells,Intermediate Yoga
414,61,Other,Advanced,Weight Loss,Dumbbells,HIIT
415,18,Other,Intermediate,Muscle Gain,Dumbbells,Strength Training
416,61,Other,Advanced,Muscle Gain,Dumbbells,Advanced Strength Training
417,33,Other,Intermediate,Weight Loss,None,Moderate Cardio
418,31,Male,Advanced,Flexibility,Treadmill,Advanced Yoga
419,33,Other,Beginner,Muscle Gain,Resistance Bands,Bodyweight Training
420,49,Female,Advanced,Muscle Gain,Resistance Bands,Advanced Strength Training
421,32,Other,Intermediate,Muscle Gain,Dumbbells,Strength Training
422,43,Male,Beginner,Weight Loss,Resistance Bands,Light Cardio
423,58,Female,Intermediate,Muscle Gain,Resistance Bands,Strength Training
424,29,Other,Beginner,Weight Loss,Treadmill,Light Cardio
425,26,Male,Advanced,Weight Loss,None,HIIT
426,61,Male,Beginner,Flexibility,Resistance Bands,Basic Yoga
427,33,Other,Beginner,Muscle Gain,None,Bodyweight Training
428,22,Other,Advanced,Weight Loss,Resistance Bands,HIIT
429,38,Female,Advanced,Flexibility,Dumbbells,Advanced Yoga
430,51,Other,Beginner,Weight Loss,Dumbbells,Light Cardio
431,27,Other,Beginner,Weight Loss,None,Light Cardio
432,23,Female,Beginner,Flexibility,Dumbbells,Basic Yoga
433,30,Other,Intermediate,Muscle Gain,Resistance Bands,Strength Training
434,44,Female,Intermediate,Muscle Gain,Treadmill,Strength Training
435,33,Female,Intermediate,Endurance,Dumbbells,Jogging
436,38,Female,Intermediate,Muscle Gain,None,Strength Training
